location,total_sqft,bath,balcony,bhk,price
other,1205.0,2.0,1.0,2.0,70.0
other,1500.0,3.0,2.0,3.0,90.0
other,1200.0,3.0,2.0,3.0,200.0
other,1020.0,2.0,2.0,2.0,48.95
Thanisandra,965.0,2.0,1.0,2.0,56.0
7th Phase JP Nagar,1800.0,6.0,3.0,5.0,270.0
other,1200.0,4.0,2.0,6.0,90.0
other,1636.0,2.0,2.0,2.0,82.89
other,1724.0,3.0,1.0,3.0,125.0
Whitefield,1216.0,2.0,1.0,2.0,67.0
Yelahanka,654.0,1.0,1.0,1.0,36.25
other,2460.0,7.0,2.0,4.0,80.0
other,1190.0,2.0,2.0,2.0,41.0
other,1200.0,5.0,2.0,7.0,180.0
other,1636.0,3.0,2.0,3.0,92.0
Hennur Road,1195.0,2.0,2.0,2.0,73.0
other,2400.0,3.0,3.0,3.0,251.0
other,1250.0,2.0,1.0,2.0,67.0
Whitefield,1452.0,3.0,0.0,3.0,90.0
Thanisandra,1546.0,3.0,1.0,3.0,95.0
Sarjapur  Road,3385.5,6.0,0.0,4.0,142.0
other,1440.0,3.0,1.0,3.0,275.0
other,2260.0,3.0,1.0,2.0,80.0
other,2700.0,3.0,2.0,4.0,90.0
other,1475.0,2.0,2.0,2.0,171.0
other,3000.0,3.0,2.0,4.0,150.0
other,375.0,1.0,0.0,1.0,26.0
other,1007.0,2.0,1.0,2.0,66.0
Hennur Road,1020.0,2.0,3.0,2.0,47.0
other,1000.0,2.0,0.0,2.0,150.0
other,800.0,3.0,1.0,2.0,59.5
other,1200.0,3.0,2.0,5.0,95.0
Marathahalli,1125.0,2.0,3.0,2.0,55.0
other,1150.0,9.0,0.0,9.0,140.0
other,909.0,2.0,1.0,3.0,43.0
Whitefield,2850.0,5.0,0.0,4.0,240.0
other,1400.0,2.0,3.0,2.0,85.0
other,1152.0,2.0,2.0,2.0,61.0
other,958.0,2.0,1.0,2.0,34.49
Whitefield,1150.0,2.0,2.0,2.0,55.0
other,2990.0,5.0,1.0,3.0,173.0
other,1310.0,2.0,2.0,2.0,85.0
other,1590.0,2.0,2.0,3.0,126.0
other,1645.0,3.0,2.0,3.0,110.0
other,1800.0,2.0,2.0,3.0,100.0
Thanisandra,1795.0,3.0,2.0,3.0,150.0
other,1100.0,2.0,3.0,2.0,35.0
Thanisandra,777.0,1.0,0.0,1.0,38.535
other,925.0,2.0,2.0,2.0,70.0
other,1542.14,3.0,3.0,3.0,120.0
other,3746.0,6.0,1.0,4.0,375.0
Thanisandra,1430.0,2.0,2.0,3.0,54.0
other,1020.0,2.0,2.0,2.0,55.0
other,750.0,2.0,1.0,4.0,42.0
Electronic City Phase II,1140.0,2.0,1.0,2.0,32.92
other,967.0,2.0,1.0,3.0,45.0
Hebbal,2470.0,4.0,2.0,4.0,203.0
other,850.0,1.0,0.0,2.0,35.5
other,1100.0,2.0,2.0,2.0,32.0
Thanisandra,1697.0,3.0,2.0,3.0,110.0
other,1250.0,2.0,2.0,2.0,47.0
other,1120.0,2.0,2.0,2.0,50.0
other,1200.0,4.0,0.0,4.0,95.0
Hennur Road,5100.0,6.0,3.0,5.0,375.0
other,2400.0,3.0,2.0,4.0,480.0
Hebbal,1200.0,2.0,1.0,2.0,52.0
7th Phase JP Nagar,1100.0,2.0,1.0,2.0,44.0
other,1417.0,2.0,2.0,3.0,76.0
Thanisandra,1492.0,3.0,1.0,3.0,88.0
other,1498.0,3.0,3.0,3.0,79.15
other,3500.0,2.0,1.0,4.0,350.0
other,1010.0,2.0,1.0,2.0,48.27
other,1255.0,2.0,2.0,2.0,53.5
other,1050.0,2.0,1.0,2.0,35.0
other,1847.0,3.0,2.0,3.0,125.0
other,1200.0,2.0,2.0,2.0,55.0
other,982.0,2.0,2.0,2.0,37.28
other,2144.6,4.0,2.0,3.0,145.0
other,750.0,2.0,1.0,2.0,36.5
Electronic City,919.0,2.0,2.0,2.0,35.0
other,1087.0,2.0,1.0,2.0,54.3
other,1480.0,3.0,2.0,3.0,74.0
other,1180.0,2.0,2.0,2.0,52.0
other,2100.0,4.0,2.0,3.0,255.0
other,1221.0,3.0,2.0,3.0,65.0
Haralur Road,1194.0,2.0,2.0,2.0,46.0
Thanisandra,2072.0,3.0,2.0,3.0,122.0
Whitefield,1600.0,3.0,2.0,3.0,69.0
other,2200.0,3.0,2.0,3.0,98.0
other,1640.0,3.0,3.0,3.0,220.0
other,1253.0,2.0,2.0,2.0,81.5
Hennur Road,1061.0,2.0,1.0,2.0,54.92
Marathahalli,1950.0,3.0,2.0,3.0,115.0
Marathahalli,1250.0,2.0,2.0,2.0,68.0
Hennur Road,1585.0,2.0,3.0,3.0,80.0
Kanakpura Road,1452.0,3.0,3.0,3.0,60.98
other,1015.0,2.0,2.0,2.0,37.0
other,2464.5,6.0,0.0,4.0,118.0
Marathahalli,1125.0,2.0,2.0,2.0,56.8
Electronic City Phase II,1116.0,2.0,2.0,2.0,40.0
other,400.0,1.0,0.0,1.0,35.0
other,4000.0,4.0,2.0,4.0,325.0
Hebbal,3900.0,4.0,2.0,4.0,410.0
other,1300.0,2.0,2.0,2.0,100.0
Raja Rajeshwari Nagar,1419.0,2.0,1.0,2.0,60.42
other,1310.0,2.0,1.0,3.0,55.0
other,2072.0,4.0,2.0,3.0,152.0
other,1240.0,2.0,1.0,2.0,58.58
other,1565.0,3.0,2.0,3.0,98.91
other,1820.0,3.0,2.0,3.0,89.0
other,2500.0,3.0,1.0,3.0,88.0
other,3657.0,5.0,0.0,5.0,310.0
other,1245.0,2.0,1.0,2.0,62.0
other,1315.0,3.0,1.0,3.0,65.0
other,1410.0,2.0,2.0,3.0,73.0
other,1375.0,2.0,1.0,2.0,60.0
other,1299.0,2.0,2.0,2.0,95.0
other,993.0,2.0,3.0,2.0,45.5
other,1200.0,3.0,0.0,2.0,45.0
other,985.0,2.0,1.0,2.0,156.0
other,2400.0,5.0,3.0,4.0,180.0
Hebbal,1255.0,2.0,1.0,3.0,95.0
other,1655.0,3.0,2.0,3.0,131.0
Whitefield,2830.0,5.0,3.0,4.0,190.0
other,6000.0,1.0,1.0,1.0,276.0
Electronic City,550.0,1.0,1.0,2.0,15.0
other,825.0,2.0,1.0,1.0,40.0
other,1634.0,3.0,1.0,3.0,111.0
other,1200.0,6.0,3.0,8.0,105.0
other,1222.0,2.0,2.0,2.0,80.0
other,1500.0,3.0,2.0,3.0,63.0
other,1890.0,4.0,2.0,3.0,100.0
other,3750.0,6.0,2.0,4.0,375.0
other,850.0,1.0,1.0,2.0,39.5
Whitefield,1295.0,2.0,3.0,2.0,78.5
Sarjapur  Road,1320.0,2.0,1.0,2.0,100.0
other,950.0,3.0,3.0,4.0,179.0
Hebbal,1200.0,4.0,2.0,4.0,225.0
other,3000.0,3.0,3.0,4.0,170.0
other,1197.0,2.0,1.0,2.0,82.0
other,1320.0,2.0,3.0,3.0,60.0
other,1180.0,5.0,2.0,5.0,98.5
Whitefield,840.0,1.0,1.0,1.0,57.6
Whitefield,640.0,1.0,0.0,1.0,19.83
Raja Rajeshwari Nagar,1693.0,3.0,1.0,3.0,71.38
other,1000.0,2.0,1.0,2.0,62.0
other,1305.0,2.0,1.0,2.0,70.0
other,450.0,1.0,1.0,1.0,18.0
other,705.0,1.0,1.0,1.0,57.0
other,750.0,6.0,2.0,4.0,75.0
other,4800.0,5.0,2.0,5.0,150.0
other,5000.0,5.0,0.0,4.0,600.0
other,5000.0,4.0,3.0,4.0,425.0
Whitefield,1991.0,3.0,2.0,3.0,104.0
other,1779.0,3.0,2.0,3.0,90.0
Whitefield,10200.0,4.0,1.0,4.0,1250.0
other,870.0,2.0,2.0,2.0,38.0
Thanisandra,1595.0,3.0,2.0,3.0,120.0
Kanakpura Road,525.0,1.0,1.0,1.0,26.0
other,945.0,5.0,2.0,4.0,120.0
other,2400.0,4.0,2.0,6.0,420.0
other,2000.0,4.0,2.0,3.0,138.0
Yelahanka,1614.0,3.0,2.0,3.0,93.0
other,1200.0,2.0,3.0,2.0,40.0
Electronic City Phase II,1150.0,3.0,3.0,3.0,46.0
other,3200.0,4.0,0.0,4.0,440.0
other,1610.0,3.0,2.0,3.0,80.48
Whitefield,1190.0,2.0,2.0,2.0,41.0
other,1050.0,2.0,2.0,2.0,50.0
other,4800.0,5.0,2.0,4.0,420.0
7th Phase JP Nagar,1460.0,2.0,1.0,3.0,97.0
other,3400.0,3.0,3.0,3.0,400.0
other,600.0,1.0,0.0,1.0,33.0
other,1569.0,3.0,0.0,3.0,70.0
other,2600.0,3.0,2.0,3.0,147.0
other,645.0,1.0,0.0,1.0,42.5
other,1200.0,3.0,1.0,4.0,180.0
other,800.0,3.0,0.0,3.0,95.0
other,800.0,2.0,1.0,2.0,80.0
Marathahalli,1350.0,2.0,1.0,2.0,90.0
other,2780.0,4.0,1.0,3.0,325.0
other,1410.0,2.0,2.0,3.0,45.12
Whitefield,1109.0,2.0,1.0,2.0,35.47
other,800.0,1.0,0.0,1.0,72.0
Bannerghatta Road,1215.0,2.0,1.0,2.0,68.0
other,1230.0,6.0,0.0,8.0,250.0
other,2273.0,4.0,2.0,3.0,192.0
other,1255.0,2.0,2.0,2.0,52.76
other,1020.0,2.0,1.0,2.0,49.0
other,1225.0,2.0,2.0,3.0,82.0
other,1120.0,2.0,1.0,2.0,60.0
other,1225.0,2.0,1.0,3.0,69.0
Whitefield,5200.0,5.0,3.0,4.0,242.0
other,4000.0,4.0,1.0,4.0,700.0
Sarjapur  Road,1984.0,4.0,1.0,3.0,145.0
other,2425.0,3.0,1.0,3.0,197.0
other,1200.0,3.0,1.0,3.0,56.12
other,1127.0,2.0,1.0,2.0,45.0
Whitefield,1655.0,3.0,2.0,3.0,97.0
other,500.0,1.0,1.0,1.0,14.0
other,1200.0,3.0,1.0,3.0,68.38
other,1000.0,2.0,2.0,2.0,43.0
other,1225.0,2.0,2.0,2.0,47.88
other,1350.0,2.0,2.0,2.0,45.0
other,600.0,5.0,3.0,4.0,95.0
other,1175.0,2.0,3.0,2.0,49.0
other,655.0,1.0,2.0,1.0,27.0
other,1311.0,2.0,1.0,3.0,84.86
other,600.0,4.0,0.0,3.0,90.0
other,1000.0,2.0,1.0,2.0,38.5
other,1196.0,2.0,1.0,2.0,96.0
Kanakpura Road,1050.0,2.0,1.0,3.0,59.0
other,1275.0,2.0,2.0,3.0,52.0
other,927.0,2.0,1.0,2.0,50.0
other,1520.0,2.0,3.0,3.0,61.0
other,2400.0,5.0,2.0,4.0,395.0
Hebbal,1333.0,2.0,1.0,2.0,104.0
other,600.0,1.0,0.0,1.0,18.0
other,1326.0,2.0,1.0,3.0,34.8
other,1370.0,2.0,2.0,2.0,125.0
other,1100.0,2.0,2.0,2.0,85.0
Haralur Road,1650.0,3.0,3.0,3.0,100.0
other,1917.0,3.0,2.0,3.0,132.0
other,780.0,3.0,0.0,3.0,75.0
other,950.0,2.0,1.0,2.0,58.11
other,1175.0,2.0,1.0,2.0,48.72
other,1089.0,2.0,1.0,2.0,43.55
other,1804.0,3.0,2.0,3.0,175.0
other,1257.0,2.0,1.0,2.0,68.5
other,650.0,1.0,2.0,1.0,19.87
Whitefield,1850.0,3.0,2.0,3.0,150.0
other,2800.0,4.0,1.0,4.0,200.0
other,945.0,2.0,0.0,2.0,40.0
other,1161.0,2.0,1.0,2.0,63.85
other,1630.0,3.0,2.0,3.0,51.35
other,1310.0,2.0,2.0,3.0,60.0
other,750.0,2.0,1.0,2.0,28.0
Whitefield,1200.0,3.0,1.0,3.0,67.77
other,1000.0,2.0,1.0,2.0,45.0
other,4000.0,4.0,2.0,4.0,225.0
other,1315.0,2.0,2.0,2.0,70.0
other,1370.0,2.0,2.0,3.0,90.0
other,1200.0,4.0,3.0,5.0,150.0
other,1465.0,3.0,3.0,2.0,90.0
Electronic City,1128.0,2.0,1.0,2.0,64.0
other,1250.0,2.0,2.0,3.0,70.0
Hebbal,1645.0,3.0,2.0,3.0,117.0
other,1284.0,2.0,2.0,3.0,75.0
Hebbal,2600.0,3.0,2.0,3.0,199.0
other,1820.0,3.0,2.0,3.0,150.0
Haralur Road,1580.0,3.0,1.0,3.0,73.0
other,2650.0,3.0,2.0,3.0,125.0
Bannerghatta Road,1215.0,2.0,1.0,2.0,68.0
Uttarahalli,1075.0,2.0,1.0,2.0,40.0
other,1400.0,2.0,3.0,3.0,78.0
other,1400.0,2.0,1.0,3.0,55.0
other,845.0,2.0,1.0,2.0,30.0
other,2600.0,4.0,3.0,4.0,40.0
other,3854.5,6.0,0.0,4.0,385.5
other,800.0,2.0,1.0,2.0,85.0
other,1199.0,2.0,1.0,2.0,85.0
other,1175.0,2.0,2.0,2.0,43.48
other,2400.0,3.0,0.0,3.0,270.0
other,1767.0,3.0,2.0,3.0,109.0
Sarjapur  Road,1800.0,3.0,1.0,4.0,90.0
other,1856.0,3.0,2.0,3.0,135.0
other,1200.0,3.0,0.0,3.0,140.0
other,1613.0,3.0,0.0,3.0,150.0
other,6830.0,5.0,0.0,4.0,795.0
Whitefield,1290.0,2.0,0.0,2.0,90.0
other,1375.0,2.0,1.0,2.0,78.0
other,985.0,2.0,2.0,2.0,57.0
other,1200.0,4.0,1.0,4.0,200.0
other,1099.0,2.0,1.0,2.0,37.5
Electronic City,605.0,1.0,0.0,1.0,13.31
other,6000.0,12.0,0.0,11.0,150.0
other,3600.0,7.0,3.0,7.0,160.0
Marathahalli,1200.0,2.0,1.0,2.0,53.0
other,1000.0,2.0,1.0,2.0,45.0
Electronic City,1159.0,2.0,3.0,3.0,38.0
Sarjapur  Road,3692.0,5.0,0.0,5.0,340.0
other,600.0,2.0,1.0,2.0,80.0
other,1540.0,2.0,2.0,3.0,78.0
other,1503.0,2.0,2.0,3.0,93.0
other,1850.0,4.0,2.0,3.0,120.0
Uttarahalli,1580.0,3.0,1.0,3.0,60.0
other,1190.0,2.0,2.0,2.0,39.25
other,1200.0,2.0,1.0,2.0,61.0
other,850.0,1.0,1.0,2.0,19.9
other,2180.0,3.0,2.0,3.0,285.0
other,2500.0,2.0,1.0,3.0,60.0
other,1200.0,3.0,1.0,3.0,56.12
other,1500.0,2.0,2.0,3.0,52.0
other,1200.0,3.0,2.0,5.0,180.0
Thanisandra,1880.0,3.0,3.0,3.0,120.0
other,1150.0,2.0,2.0,2.0,45.0
other,4408.0,4.0,2.0,4.0,344.0
other,924.0,2.0,2.0,2.0,35.11
Sarjapur  Road,7800.0,6.0,0.0,5.0,385.0
other,600.0,6.0,3.0,6.0,100.0
other,750.0,4.0,1.0,4.0,95.0
other,1962.0,3.0,2.0,3.0,175.0
other,1200.0,4.0,3.0,5.0,240.0
other,1765.0,3.0,2.0,3.0,77.27
other,1174.0,2.0,1.0,2.0,29.35
Bannerghatta Road,1894.0,3.0,1.0,3.0,115.0
other,960.0,2.0,2.0,4.0,138.0
other,1760.0,3.0,2.0,3.0,142.0
other,1768.0,3.0,3.0,3.0,95.0
other,1790.0,3.0,0.0,3.0,97.0
other,3500.0,5.0,1.0,4.0,800.0
Whitefield,1200.0,2.0,1.0,2.0,45.0
other,2540.0,4.0,0.0,4.0,160.0
other,1137.0,2.0,1.0,2.0,53.4
other,1200.0,6.0,0.0,7.0,115.0
other,1568.0,2.0,2.0,3.0,100.0
other,4920.0,4.0,0.0,4.0,393.5
other,1308.0,2.0,1.0,2.0,60.0
other,3060.0,4.0,2.0,4.0,350.0
other,1200.0,2.0,1.0,3.0,41.0
other,800.0,1.0,2.0,1.0,32.0
Electronic City,530.0,1.0,1.0,1.0,13.5
other,873.0,2.0,1.0,3.0,40.0
other,3000.0,6.0,3.0,7.0,145.0
other,1200.0,4.0,1.0,4.0,235.0
other,958.0,2.0,1.0,2.0,33.53
other,2072.0,4.0,2.0,3.0,160.0
other,2273.0,3.0,3.0,3.0,159.0
other,600.0,3.0,2.0,3.0,90.0
Thanisandra,760.0,1.0,2.0,1.0,50.0
other,1090.0,2.0,2.0,2.0,43.5
other,2072.0,4.0,2.0,3.0,155.0
other,2666.0,3.0,1.0,3.0,230.0
Sarjapur  Road,1550.0,2.0,1.0,3.0,89.0
other,1251.0,2.0,1.0,2.0,50.0
Electronic City,1070.0,2.0,1.0,2.0,53.0
other,1200.0,2.0,2.0,2.0,45.0
other,1435.0,2.0,2.0,3.0,60.0
other,1400.0,2.0,3.0,3.0,45.0
other,2330.0,3.0,2.0,4.0,94.71
Thanisandra,1200.0,2.0,3.0,2.0,60.0
other,1000.0,2.0,2.0,2.0,40.0
Bannerghatta Road,1655.0,2.0,2.0,3.0,62.89
Raja Rajeshwari Nagar,3600.0,9.0,3.0,9.0,240.0
other,600.0,1.0,1.0,1.0,35.0
other,1175.0,2.0,1.0,2.0,50.0
Uttarahalli,1155.0,2.0,2.0,2.0,40.43
other,1200.0,3.0,2.0,3.0,98.0
other,1149.0,2.0,2.0,2.0,65.0
other,3200.0,4.0,2.0,4.0,375.0
other,1010.0,2.0,2.0,2.0,55.0
other,1718.0,3.0,2.0,3.0,119.0
other,650.0,1.0,1.0,2.0,20.0
other,1330.0,2.0,2.0,2.0,77.0
other,1200.0,2.0,2.0,2.0,68.0
Bannerghatta Road,1693.0,3.0,2.0,3.0,89.0
other,1249.0,2.0,1.0,2.0,165.0
Thanisandra,1800.0,4.0,1.0,3.0,125.0
other,900.0,2.0,0.0,2.0,55.0
other,1020.0,2.0,1.0,2.0,46.0
other,1700.0,3.0,2.0,3.0,77.0
other,661.0,1.0,1.0,1.0,40.0
Bannerghatta Road,1280.0,2.0,2.0,2.0,60.16
other,1000.0,4.0,2.0,5.0,90.0
other,1170.0,2.0,1.0,2.0,48.0
Thanisandra,933.0,2.0,1.0,1.0,58.0
Sarjapur  Road,1150.0,2.0,0.0,2.0,44.0
other,3633.0,6.0,2.0,4.0,550.0
other,1380.0,3.0,3.0,3.0,130.0
other,1050.0,2.0,1.0,2.0,64.8
other,1080.0,2.0,1.0,2.0,37.8
other,1303.0,2.0,1.0,2.0,90.0
Raja Rajeshwari Nagar,1196.0,2.0,2.0,2.0,40.54
other,2500.0,3.0,2.0,5.0,180.0
Sarjapur  Road,1200.0,4.0,1.0,5.0,95.0
other,1250.0,3.0,2.0,3.0,41.0
other,1419.0,2.0,3.0,3.0,87.0
other,1200.0,2.0,3.0,2.0,49.0
7th Phase JP Nagar,1120.0,2.0,2.0,2.0,65.0
other,762.5,1.0,0.0,1.0,45.4
other,1245.0,2.0,1.0,2.0,75.0
other,3978.0,4.0,3.0,4.0,428.0
other,1093.0,2.0,1.0,2.0,34.0
Electronic City,1025.0,1.0,1.0,2.0,26.63
Hebbal,1345.0,2.0,1.0,2.0,97.0
other,1500.0,2.0,1.0,2.0,45.0
other,1180.0,2.0,1.0,2.0,86.0
other,1020.0,2.0,1.0,2.0,48.45
other,1800.0,3.0,3.0,3.0,85.0
other,3621.0,4.0,1.0,4.0,511.0
other,2008.0,3.0,2.0,3.0,170.0
other,1240.0,2.0,2.0,3.0,39.85
other,1020.0,2.0,1.0,2.0,55.0
other,2095.0,3.0,2.0,3.0,142.0
other,1362.0,3.0,2.0,3.0,62.63
Yelahanka,694.0,1.0,0.0,1.0,30.84
other,1404.0,2.0,2.0,2.0,70.0
Electronic City Phase II,1192.0,2.0,3.0,3.0,47.0
other,1850.0,12.0,0.0,8.0,300.0
other,1050.0,1.0,0.0,4.0,35.0
other,1259.0,2.0,1.0,2.0,67.48
other,1000.0,2.0,2.0,2.0,34.0
other,985.0,2.0,1.0,2.0,49.97
other,850.0,1.0,2.0,1.0,60.0
Uttarahalli,1650.0,2.0,1.0,3.0,50.0
other,2400.0,3.0,1.0,5.0,320.0
Sarjapur  Road,1900.0,4.0,1.0,3.0,180.0
other,1367.0,2.0,2.0,2.0,86.0
other,1210.0,2.0,2.0,3.0,81.0
other,1190.0,2.0,1.0,2.0,48.6
other,1175.0,2.0,2.0,2.0,42.0
other,2800.0,4.0,0.0,4.0,400.0
Whitefield,1140.0,2.0,2.0,2.0,40.0
other,1095.0,2.0,2.0,2.0,33.6
other,782.0,1.0,0.0,1.0,19.55
other,1435.0,2.0,2.0,3.0,80.0
other,725.0,2.0,2.0,2.0,36.0
other,1600.0,2.0,2.0,3.0,88.0
other,1200.0,5.0,0.0,5.0,160.0
other,3205.0,4.0,2.0,4.0,300.0
other,720.0,3.0,1.0,4.0,95.0
other,1674.0,3.0,0.0,3.0,90.0
other,860.0,4.0,2.0,4.0,125.0
Haralur Road,1243.0,2.0,2.0,2.0,46.0
Kanakpura Road,1703.0,3.0,2.0,3.0,130.0
other,1350.0,3.0,1.0,3.0,71.55
other,1145.0,2.0,1.0,2.0,41.21
Whitefield,1216.0,2.0,1.0,2.0,75.0
7th Phase JP Nagar,1100.0,3.0,1.0,2.0,60.0
Sarjapur  Road,2425.0,5.0,1.0,4.0,201.0
other,2700.0,4.0,2.0,4.0,175.0
Raja Rajeshwari Nagar,1196.0,2.0,2.0,2.0,40.54
Kanakpura Road,1600.0,3.0,3.0,3.0,90.0
other,1510.0,3.0,3.0,3.0,47.57
other,3033.0,4.0,1.0,4.0,326.0
other,780.0,2.0,1.0,2.0,72.0
Haralur Road,1194.0,2.0,2.0,2.0,47.0
other,1250.0,2.0,2.0,2.0,110.0
Sarjapur  Road,1480.0,4.0,1.0,5.0,169.0
other,1250.0,4.0,1.0,4.0,100.0
other,1350.0,4.0,2.0,4.0,160.0
other,620.0,2.0,0.0,1.0,48.0
Raja Rajeshwari Nagar,1630.0,3.0,2.0,3.0,60.65
Hennur Road,1020.0,2.0,0.0,2.0,45.0
other,1410.0,2.0,2.0,3.0,53.58
other,1181.7,2.0,1.0,2.0,100.0
other,1200.0,8.0,3.0,9.0,270.0
Sarjapur  Road,1691.0,3.0,2.0,3.0,113.0
other,1200.0,4.0,0.0,4.0,83.0
other,1200.0,2.0,3.0,2.0,60.0
other,1050.0,2.0,2.0,2.0,50.0
other,1300.0,3.0,2.0,3.0,77.99
Whitefield,1356.0,2.0,1.0,2.0,94.84
Whitefield,1338.0,2.0,1.0,2.0,103.0
other,500.0,1.0,1.0,1.0,20.0
other,1280.0,2.0,1.0,3.0,100.0
Raja Rajeshwari Nagar,1531.0,3.0,3.0,3.0,51.77
other,11000.0,4.0,1.0,4.0,1600.0
other,620.0,1.0,1.0,2.0,23.5
other,1605.0,2.0,2.0,3.0,65.0
Thanisandra,1917.0,3.0,2.0,3.0,110.0
Sarjapur  Road,1400.0,3.0,2.0,3.0,55.0
other,2625.0,3.0,3.0,3.0,175.0
other,1100.0,2.0,1.0,2.0,55.0
Hennur Road,2041.0,3.0,3.0,3.0,128.0
Sarjapur  Road,2070.0,4.0,2.0,3.0,160.0
Hebbal,1110.0,3.0,3.0,3.0,59.0
other,1650.0,3.0,1.0,3.0,110.0
other,3565.0,4.0,3.0,4.0,255.0
other,1033.0,2.0,2.0,3.0,30.47
other,1142.0,2.0,2.0,2.0,65.0
other,1500.0,2.0,2.0,3.0,75.0
Electronic City Phase II,1502.0,3.0,3.0,3.0,50.0
other,1176.0,2.0,1.0,3.0,45.0
other,1063.0,2.0,1.0,2.0,32.8
other,1100.0,2.0,1.0,2.0,60.0
other,1044.0,2.0,2.0,2.0,85.0
Sarjapur  Road,5400.0,3.0,2.0,3.0,700.0
other,1216.0,2.0,2.0,2.0,60.0
other,1425.0,3.0,2.0,3.0,55.0
other,1200.0,8.0,2.0,8.0,150.0
other,1345.0,2.0,2.0,2.0,108.0
Marathahalli,1248.0,2.0,1.0,2.0,130.0
other,1830.0,4.0,2.0,4.0,325.0
other,900.0,1.0,0.0,2.0,130.0
other,3600.0,4.0,0.0,4.0,245.0
Uttarahalli,1025.0,2.0,1.0,2.0,35.88
other,840.0,1.0,1.0,2.0,99.0
other,3050.0,2.0,0.0,3.0,90.0
other,1424.0,2.0,2.0,3.0,75.0
other,2500.0,3.0,1.0,3.0,268.0
other,1200.0,6.0,0.0,6.0,230.0
other,1285.0,2.0,2.0,2.0,45.0
other,1450.0,2.0,1.0,2.0,55.99
Raja Rajeshwari Nagar,1160.0,2.0,1.0,2.0,70.0
other,2700.0,3.0,0.0,3.0,350.0
other,2000.0,2.0,2.0,3.0,95.0
Uttarahalli,1125.0,2.0,1.0,2.0,47.65
other,3900.0,4.0,2.0,4.0,175.0
Raja Rajeshwari Nagar,1133.0,2.0,1.0,2.0,38.37
other,1240.0,2.0,2.0,2.0,60.0
other,1466.0,3.0,3.0,3.0,77.59
other,3870.0,4.0,2.0,4.0,411.0
other,1610.0,2.0,2.0,3.0,115.0
Sarjapur  Road,1220.0,3.0,2.0,3.0,56.0
other,1225.0,2.0,2.0,2.0,48.0
other,1300.0,2.0,1.0,2.0,54.0
Thanisandra,1996.0,4.0,1.0,3.0,123.0
other,1320.0,2.0,2.0,3.0,55.0
other,1800.0,3.0,2.0,3.0,240.0
other,1835.0,3.0,3.0,3.0,175.0
Sarjapur  Road,1435.0,3.0,2.0,3.0,90.0
Whitefield,4097.0,3.0,0.0,3.0,400.0
other,1601.0,3.0,3.0,3.0,70.0
other,1257.0,2.0,2.0,2.0,93.0
other,3596.0,5.0,1.0,4.0,260.0
other,1309.0,2.0,2.0,2.0,95.0
other,1362.0,2.0,0.0,2.0,100.0
Whitefield,1115.0,2.0,1.0,2.0,55.0
Whitefield,1870.0,3.0,2.0,3.0,90.0
other,1322.0,2.0,1.0,2.0,61.99
other,1450.0,2.0,1.0,3.0,65.0
other,1185.0,2.0,2.0,2.0,67.0
7th Phase JP Nagar,1790.0,3.0,3.0,3.0,120.0
Whitefield,3450.0,4.0,2.0,3.0,208.0
other,1050.0,2.0,2.0,2.0,52.5
other,693.0,1.0,0.0,1.0,27.375
Sarjapur  Road,5400.0,4.0,2.0,4.0,750.0
other,775.0,1.0,0.0,1.0,39.0
other,1000.0,2.0,2.0,2.0,48.0
Thanisandra,1183.0,2.0,1.0,2.0,77.25
other,1282.0,3.0,2.0,3.0,178.0
other,425.0,1.0,1.0,1.0,15.0
other,820.0,2.0,2.0,2.0,30.0
Hebbal,1200.0,2.0,2.0,2.0,52.0
other,1151.0,2.0,2.0,2.0,43.6
other,1320.0,2.0,2.0,3.0,59.0
other,1450.0,3.0,2.0,3.0,68.0
other,1270.0,2.0,3.0,3.0,50.79
other,1847.0,3.0,2.0,3.0,123.0
other,1020.0,2.0,1.0,1.0,49.87
other,1650.0,3.0,0.0,3.0,95.0
other,2380.0,4.0,3.0,4.0,242.0
Electronic City,2400.0,2.0,0.0,3.0,78.0
other,1160.0,2.0,2.0,2.0,44.0
Haralur Road,2805.0,4.0,3.0,4.0,154.0
other,1360.0,3.0,0.0,3.0,47.6
other,1089.0,2.0,1.0,2.0,49.0
Yelahanka,1115.0,2.0,2.0,2.0,60.0
other,1215.0,2.0,1.0,2.0,45.0
Sarjapur  Road,1194.0,2.0,1.0,2.0,51.0
other,1536.0,3.0,1.0,3.0,104.0
other,1255.0,2.0,2.0,2.0,55.5
Electronic City,1571.0,3.0,2.0,3.0,83.0
other,900.0,1.0,0.0,2.0,70.0
other,1517.0,2.0,2.0,2.0,125.0
other,664.0,1.0,1.0,1.0,35.4
other,1230.0,2.0,1.0,2.0,58.0
other,1340.0,2.0,2.0,2.0,72.0
other,1175.0,2.0,1.0,2.0,29.38
other,3569.0,4.0,1.0,4.0,600.0
other,1240.0,2.0,2.0,2.0,43.1
Electronic City,1470.0,2.0,1.0,3.0,44.1
7th Phase JP Nagar,1680.0,3.0,2.0,3.0,117.0
other,1000.0,2.0,2.0,2.0,35.0
other,1071.0,2.0,1.0,2.0,51.0
other,1512.0,3.0,0.0,3.0,80.0
other,3435.0,2.0,1.0,4.0,341.0
other,3144.0,3.0,1.0,3.0,455.0
other,1190.0,2.0,1.0,2.0,60.0
other,1550.0,2.0,3.0,3.0,80.0
